"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22","WV03"
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-18",,,,"0.00","0.0","0.0",,"46","24",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-19",,,,"0.00","0.0","0.0",,"46","19",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-20",,,,"0.00","0.0","0.0",,"48","35",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-21",,,,"0.47","0.0","0.0",,"46","41",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-22",,,,"0.00","0.0","0.0",,"52","32",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-23",,,,"0.00","0.0","0.0",,"48","28",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-24",,,,"0.00","0.0","0.0",,"43","25",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-25",,,,"0.00","0.0","0.0",,"47","28",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-26",,,,"0.00","0.0","0.0",,"47","31",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-27",,,,"0.00","0.0","0.0",,"47","29",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-28",,,,"0.03","0.0","0.0",,"48","30",,,,,,,,,,,,,,,,,,"    1",,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-29",,,,"0.00","0.0","0.0",,"54","41",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-30",,,,"0.01","0.0","0.0",,"54","35",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-31",,,,"0.25","0.0","0.0",,"56","30",,,,,,"    1","    1",,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-01",,,,"0.38","0.0","0.0",,"50","35",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-02",,,,"0.00","0.0","0.0",,"52","30",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-03",,,,"0.00","0.0","0.0",,"56","28",,,,,,,,,,,,,,,,,,,,,,,
